
IP Address	Port	Protocol	Country	Anonymity	Latency	Uptime	Alive since
64.225.4.85	9998	HTTP	Canada	Elite	2502ms	36.7%	11 minutes
64.225.4.85	9987	HTTP	Canada	Elite	3654ms	31.3%	8 minutes
120.237.57.83	9091	HTTP	China	Elite	1162ms	70.9%	3 hours
120.224.180.41	9002	HTTP	China	Elite	3108ms	96.8%	2 hours
191.7.8.250	80	HTTP	Brazil	Anonymous	2223ms	45.4%	11 minutes
190.113.42.162	999	HTTP	Nicaragua	Anonymous	8840ms	83.2%	7 minutes
157.100.13.202	999	HTTP	Ecuador	Anonymous	1451ms	68.1%	15 minutes
64.225.4.85	9950	HTTP	Canada	Elite	2556ms	39.7%	11 minutes
184.181.217.220	4145	Socks4	United States	Elite	1813ms	95.3%	2 hours
125.143.142.188	1080	Socks5	Korea	Elite	1531ms	87.3%	20 minutes
43.255.113.232	8083	HTTP	Cambodia	Elite	2347ms	36.7%	2 hours
184.178.172.14	4145	Socks5	United States	Elite	937ms	83.2%	52 minutes
182.253.174.191	5678	Socks4	Indonesia	Elite	1898ms	34.1%	6 minutes
64.225.4.17	9976	HTTP	Canada	Elite	995ms	57.6%	32 minutes
124.13.181.4	80	HTTP	Malaysia	Anonymous	1101ms	69.7%	4 hours
68.1.210.163	4145	Socks5	United States	Elite	3244ms	93%	27 minutes
200.24.147.66	999	HTTP	Ecuador	Anonymous	3686ms	91.4%	10 hours
60.175.244.38	9002	HTTP	China	Elite	1043ms	96.5%	6 hours
62.193.108.150	1976	HTTP	Egypt	Anonymous	4125ms	37.7%	8 minutes
121.1.41.162	111	HTTP	Philippines	Elite	816ms	33.7%	14 minutes
103.163.51.254	80	HTTP	Unkown	Elite	616ms	73.6%	5 hours
201.223.69.253	80	HTTP	Chile	Elite	883ms	57.9%	12 minutes
120.236.79.139	9002	HTTP	China	Elite	867ms	95.9%	5 hours
141.95.74.216	1234	Socks4	Netherlands	Elite	257ms	72.1%	10 minutes
41.33.254.186	1976	HTTP	Egypt	Anonymous	3653ms	38.3%	9 minutes
192.111.139.165	4145	Socks4	United States	Elite	709ms	81.3%	3 hours
125.17.80.227	8080	HTTP	India	Elite	2243ms	99.3%	4 hours
141.136.42.68	80	HTTP	Lithuania	Elite	6803ms	39.7%	11 minutes
202.61.192.193	80	HTTP	Australia	Elite	14ms	96.1%	6 hours
123.153.146.65	9002	HTTP	China	Elite	844ms	98.8%	8 hours
196.1.214.179	80	HTTP	Sudan	Anonymous	2471ms	53.8%	2 days
183.221.242.104	8443	HTTP	China	Elite	2027ms	63%	18 minutes
146.56.133.149	80	HTTP	Japan	Elite	906ms	43.6%	34 minutes
62.193.108.155	1981	HTTP	Egypt	Anonymous	1089ms	33.2%	15 minutes
142.54.228.193	4145	Socks5	United States	Elite	7692ms	91.5%	13 minutes
120.236.74.212	9002	HTTP	China	Elite	1043ms	44.9%	8 minutes
60.190.195.146	1080	Socks4	China	Elite	2141ms	77.2%	5 hours
103.48.68.109	83	HTTP	India	Anonymous	9667ms	31.8%	8 minutes
123.130.115.217	9091	HTTP	China	Elite	2012ms	83.5%	2 hours
211.97.2.197	9002	HTTP	China	Elite	633ms	97.7%	1 hour
123.159.126.14	8085	HTTP	China	Elite	893ms	98.5%	8 hours
103.179.189.72	3128	HTTP	Unkown	Anonymous	1154ms	40.9%	32 minutes
198.8.84.3	4145	Socks5	United States	Elite	2565ms	93.1%	24 minutes
142.54.226.214	4145	Socks4	United States	Elite	1941ms	92%	2 hours
64.225.4.17	9985	HTTP	Canada	Elite	5085ms	36.5%	10 minutes
194.102.180.145	3128	HTTP	Romania	Anonymous	63ms	100%	2 hours
103.150.18.218	80	HTTP	Unkown	Elite	354ms	98.6%	2 days
65.109.84.104	80	HTTP	United States	Elite	984ms	44.5%	12 minutes
180.168.191.195	9002	HTTP	China	Elite	1119ms	86.8%	3 days
61.178.141.146	80	HTTP	China	Elite	2726ms	95%	8 minutes
13.75.216.118	3128	HTTP	Australia	Elite	957ms	57.6%	13 minutes
210.75.50.242	9002	HTTP	China	Elite	1078ms	93.4%	6 hours
103.111.225.244	1088	Socks4	Bangladesh	Elite	1996ms	31.9%	8 minutes
125.141.200.35	80	Socks5	Korea	Elite	6411ms	50%	10 days
183.237.47.54	9091	HTTP	China	Elite	1039ms	93.8%	6 hours
103.156.140.150	8181	HTTP	Unkown	Anonymous	8177ms	52.7%	8 minutes
202.173.214.72	80	HTTP	Thailand	Anonymous	9330ms	53.3%	44 minutes
123.138.214.150	9002	HTTP	China	Elite	956ms	96.3%	8 hours
45.149.77.141	7000	HTTP	Unkown	Elite	318ms	92.4%	4 days
123.183.162.9	9002	HTTP	China	Elite	1091ms	95.1%	2 hours
183.172.27.50	7891	Socks5	China	Elite	3447ms	90.7%	29 minutes
62.193.68.72	1981	HTTP	Egypt	Anonymous	4001ms	48.9%	8 minutes
184.168.122.103	7890	HTTP	United States	Elite	656ms	99.2%	17 hours
60.187.92.193	8085	HTTP	China	Elite	917ms	88.2%	8 hours
43.255.113.232	81	HTTP	Cambodia	Elite	1356ms	36.7%	12 minutes
184.178.172.26	4145	Socks5	United States	Elite	2954ms	86.8%	18 minutes
202.162.105.202	8000	HTTP	Australia	Elite	1091ms	98.5%	7 hours
197.246.212.70	3030	HTTP	Egypt	Anonymous	214ms	43.9%	3 hours
192.111.134.10	4145	Socks4	United States	Elite	1867ms	94.3%	2 hours
64.225.4.17	9987	HTTP	Canada	Elite	1698ms	36.9%	8 minutes
68.71.254.6	4145	Socks4	United States	Elite	869ms	88.9%	24 minutes
64.225.4.85	9959	HTTP	Canada	Elite	3939ms	36.6%	7 minutes
120.236.41.185	9091	HTTP	China	Elite	1143ms	50.3%	12 hours
190.195.225.34	8080	HTTP	Argentina	Anonymous	5243ms	31.4%	7 minutes
2.203.130.53	80	HTTP	Germany	Elite	4386ms	67.1%	2 hours
64.225.4.85	9997	HTTP	Canada	Elite	933ms	41.6%	10 minutes
195.190.144.6	80	HTTP	Unkown	Elite	320ms	88%	6 hours
64.225.4.17	9992	HTTP	Canada	Elite	1602ms	34%	15 minutes
183.233.219.26	9002	HTTP	China	Elite	964ms	96.1%	6 hours
61.74.189.98	1080	Socks5	Korea	Elite	1541ms	85.8%	17 minutes
193.3.20.13	80	HTTP	Denmark	Elite	687ms	96.6%	3 days
40.69.125.37	3128	HTTP	Canada	Anonymous	4313ms	43%	15 minutes
123.255.201.110	8080	HTTP	Indonesia	Anonymous	8999ms	33.8%	11 minutes
124.13.181.6	80	HTTP	Malaysia	Anonymous	1884ms	70.1%	44 minutes
141.95.75.79	1234	Socks4	Netherlands	Elite	245ms	75.8%	39 minutes
67.206.213.202	3120	HTTP	Puerto Rico	Anonymous	2834ms	31.7%	9 minutes
142.54.237.34	4145	Socks5	United States	Elite	2208ms	93.2%	48 minutes
61.74.189.86	1080	Socks4	Korea	Elite	1239ms	88.7%	8 minutes
43.255.113.232	8081	HTTP	Cambodia	Elite	1367ms	37.9%	6 minutes
146.59.127.168	80	HTTP	Norway	Elite	708ms	90%	36 minutes
184.178.172.26	4145	Socks4	United States	Elite	1795ms	95.8%	21 minutes
201.218.42.203	1994	HTTP	Ecuador	Anonymous	2538ms	66.4%	27 minutes
202.103.203.97	9091	HTTP	China	Elite	1975ms	93.4%	26 minutes
64.225.4.17	9998	HTTP	Canada	Elite	542ms	34.4%	9 minutes
68.1.210.163	4145	Socks4	United States	Elite	1809ms	93.6%	37 minutes
183.234.218.195	9002	HTTP	China	Elite	1053ms	49.5%	53 minutes
201.217.51.9	4145	Socks4	Paraguay	Elite	8427ms	31.5%	13 minutes
72.195.34.59	4145	Socks5	United States	Elite	2999ms	67.7%	41 minutes
124.90.208.246	8085	HTTP	China	Elite	913ms	92.5%	4 hours
120.236.64.75	9002	HTTP	China	Elite	896ms	47.8%	9 minutes
192.111.139.162	4145	Socks5	United States	Elite	853ms	72.1%	38 minutes
184.181.217.194	4145	Socks5	United States	Elite	974ms	87.2%	2 hours
64.225.4.85	9973	HTTP	Canada	Elite	7770ms	32.2%	8 minutes
192.111.137.35	4145	Socks5	United States	Elite	837ms	75.2%	41 minutes
45.157.177.22	80	HTTP	Unkown	Elite	2468ms	42.8%	25 minutes
41.93.71.12	80	HTTP	Tanzania	Anonymous	1074ms	80.7%	4 hours
103.152.9.144	80	HTTP	Unkown	Elite	918ms	99.7%	3 hours
208.76.54.103	80	HTTP	United States	Elite	472ms	40.1%	52 minutes
18.179.20.228	8181	HTTP	Japan	Elite	939ms	67.6%	3 hours
64.225.4.17	9965	HTTP	Canada	Elite	1629ms	31.1%	24 minutes
180.150.32.18	80	HTTP	Australia	Elite	753ms	99.2%	5 hours
202.162.105.202	80	HTTP	Australia	Elite	1117ms	99%	9 hours
120.237.144.200	9091	HTTP	China	Elite	961ms	70.1%	9 hours
120.236.74.210	9002	HTTP	China	Elite	975ms	46.7%	53 minutes
40.119.247.185	80	HTTP	Singapore	Elite	645ms	84.1%	2 hours
121.22.53.166	9091	HTTP	China	Elite	1308ms	89%	3 hours
20.99.187.69	8443	HTTP	United States	Elite	2400ms	70.8%	25 minutes
103.111.122.2	80	HTTP	Bangladesh	Elite	362ms	97.7%	10 days
182.106.220.252	9091	HTTP	China	Elite	1055ms	89%	5 hours
142.54.232.6	4145	Socks4	United States	Elite	1398ms	93%	35 minutes
61.175.214.2	9091	HTTP	China	Elite	1064ms	97.3%	6 hours
103.38.214.21	3128	HTTP	Philippines	Elite	913ms	77.8%	22 minutes
43.229.135.25	8080	HTTP	Thailand	Anonymous	821ms	35.1%	5 hours
184.178.172.17	4145	Socks4	United States	Elite	1804ms	95.2%	30 minutes
120.196.186.248	9091	HTTP	China	Elite	947ms	94.6%	1 hour
45.188.166.52	1994	HTTP	Unkown	Anonymous	6216ms	52.4%	7 minutes
142.54.232.6	4145	Socks5	United States	Elite	1023ms	92.6%	36 minutes
43.138.138.164	8080	HTTP	Japan	Elite	1136ms	97.3%	23 minutes
123.183.160.83	9091	HTTP	China	Elite	1097ms	85.5%	4 hours
103.145.113.78	80	HTTP	Unkown	Elite	367ms	93.2%	5 hours
68.71.247.130	4145	Socks4	United States	Elite	232ms	88.7%	18 minutes
184.181.217.206	4145	Socks5	United States	Elite	1970ms	87.2%	3 hours
103.66.168.20	80	HTTP	Unkown	Anonymous	4240ms	42.1%	12 minutes
42.63.10.170	9002	HTTP	China	Elite	807ms	97.5%	5 hours
183.239.62.59	9091	HTTP	China	Elite	1026ms	83.9%	10 hours
192.252.220.89	4145	Socks4	United States	Elite	1964ms	93.5%	19 minutes
203.19.38.114	1080	HTTP	Hong Kong	Elite	719ms	88.2%	7 hours
181.48.157.174	8080	HTTP	Colombia	Anonymous	8941ms	33.2%	10 minutes
103.156.141.100	80	HTTP	Unkown	Elite	400ms	78.1%	5 hours
202.173.214.77	80	HTTP	Thailand	Anonymous	9267ms	58.6%	7 minutes
200.187.70.223	3128	HTTP	Brazil	Anonymous	2214ms	90.7%	4 hours
129.154.56.212	8088	Socks5	United States	Elite	3791ms	53.8%	21 minutes
64.225.4.17	9969	HTTP	Canada	Elite	662ms	31.5%	8 minutes
